x,y,z,u,v,w,p,res_u,res_v,res_w,res_norm
0.0,0.4444444444444444,0.4444444444444444,0.30411596335584784,2.3595127358261783,-0.5588693216221217,-0.5361811193790996,0.9937048468275991,1.8754515371018075,-2.5266635171811975,3.2998176191542243
0.0,0.4444444444444444,0.5555555555555556,0.30411596335584784,2.3595127358261783,-0.5000982419488496,-0.4797959465539575,0.937319674002457,2.4125341099919635,-2.2051443688244308,3.400228035074248
0.0,0.4444444444444444,0.6666666666666666,0.30411596335584784,2.2661803104762215,-0.447507569165576,-0.4293402770246472,0.8711408235184948,2.696257536102712,-1.829317307966593,3.3726981555747457
0.0,0.4444444444444444,0.7777777777777777,0.30411596335584784,2.090772727713409,-0.4004473674613834,-0.3841905601736276,0.7964411924307394,2.756684336087726,-1.433634357437338,3.2076369140937215
0.0,0.4444444444444444,0.8888888888888888,0.30411596335584784,1.8544467307591495,-0.35833604871925717,-0.34378881839229897,0.7162269588978285,2.672461617583466,-1.0508209334126646,2.9596041607294596
0.0,0.4444444444444444,1.0,0.30411596335584784,1.58570672264638,-0.3206531850259008,-0.30763575137858423,0.634800796692726,2.5387104179709747,-0.7079228188205068,2.710936619547357
0.0,0.5555555555555556,0.0,0.30411596335584784,1.58570672264638,-1.0895321576167778,-0.7483010323020391,0.5411961570030339,-1.7719161452714383,-3.349412387406864,3.8276812102293722
0.0,0.5555555555555556,0.1111111111111111,0.30411596335584784,1.8544467307591495,-0.9749562115690837,-0.6696091845166444,0.4172312140262516,-1.6304323035251587,-3.3306747214654027,3.731726876734793
0.0,0.5555555555555556,0.2222222222222222,0.30411596335584784,2.090772727713409,-0.872429150284405,-0.5991926252055013,0.3070021629635262,-1.3055253855919233,-3.235668761924754,3.502598920428215
0.0,0.5555555555555556,0.3333333333333333,0.30411596335584784,2.2661803104762215,-0.7806839048094382,-0.5361811193790995,0.21444074290038867,-0.8404115919768438,-3.0438455927455244,3.165007498983387
0.0,0.5555555555555556,0.4444444444444444,0.30411596335584784,2.3595127358261783,-0.6985866520276521,-0.47979594655395746,0.14233238912059482,-0.2636237435258683,-2.7573399084431176,2.773567983272894
0.0,0.5555555555555556,0.5555555555555556,0.30411596335584784,2.3595127358261783,-0.625122802436062,-0.4293402770246471,0.09187671959128446,0.39286939962454537,-2.395030059274055,2.4287767871071417
0.0,0.5555555555555556,0.6666666666666666,0.30411596335584784,2.2661803104762215,-0.55938446145697,-0.3841905601736275,0.06245018369491667,1.0807327756628364,-1.9859962071537203,2.261871855933574
